prenom,nbdenaissances
Lucas,7 480 naissances
Nathan,7 003 naissances
Emma,6 589 naissances
Enzo,6 492 naissances
Jade,5 505 naissances
Léa,5 302 naissances
Chloé,5 029 naissances
Manon,4 939 naissances
Louis,4 856 naissances
Inès,4 758 naissances
Mathis,4 649 naissances
Jules,4 613 naissances
Gabriel,4 500 naissances
Hugo,4 474 naissances
Raphaël,4 316 naissances
Léo,4 144 naissances
Théo,4 118 naissances
Sarah,4 101 naissances
Tom,4 088 naissances
Ethan,4 080 naissances
Zoé,4 046 naissances
Lola,4 023 naissances
Noah,3 964 naissances
Arthur,3 930 naissances
Clara,3 866 naissances
Lilou,3 852 naissances
Mathéo,3 821 naissances
Thomas,3 783 naissances
Louise,3 730 naissances
Maëlys,3 725 naissances
Yanis,3 714 naissances
Maxime,3 648 naissances
Clément,3 604 naissances
Adam,3 268 naissances
Eva,3 254 naissances
Paul,3 200 naissances
Léna,3 139 naissances
Antoine,3 094 naissances
Maël,3 005 naissances
Anaïs,2 976 naissances
Evan,2 929 naissances
Romane,2 914 naissances
Lina,2 868 naissances
Timéo,2 817 naissances
Axel,2 774 naissances
Alexandre,2 772 naissances
Lucie,2 716 naissances
Nolan,2 683 naissances
Louna,2 610 naissances
Baptiste,2 608 naissances
Alexis,2 577 naissances
Noé,2 556 naissances
Maxence,2 552 naissances
Noa,2 448 naissances
Juliette,2 376 naissances
Quentin,2 349 naissances
Mohamed,2 260 naissances
Océane,2 226 naissances
Sacha,2 209 naissances
Clémence,2 128 naissances
Lisa,2 110 naissances
Mathilde,2 102 naissances
Rayan,2 095 naissances
Jeanne,2 060 naissances
Marie,2 041 naissances
Gabin,2 023 naissances
Ambre,2 022 naissances
Lou,2 009 naissances
Charlotte,1 980 naissances
Louane,1 968 naissances
Valentin,1 961 naissances
Noémie,1 959 naissances
Kylian,1 945 naissances
Alice,1 906 naissances
Esteban,1 882 naissances
Pauline,1 864 naissances
Célia,1 863 naissances
Romain,1 851 naissances
Mathys,1 833 naissances
Laura,1 829 naissances
Victor,1 798 naissances
Julie,1 771 naissances
Martin,1 730 naissances
Mattéo,1 728 naissances
Nina,1 728 naissances
Samuel,1 710 naissances
Simon,1 661 naissances
Anna,1 648 naissances
Alicia,1 619 naissances
Rose,1 610 naissances
Lenny,1 596 naissances
Luna,1 588 naissances
Elise,1 507 naissances
Adrien,1 503 naissances
Lily,1 502 naissances
Elisa,1 492 naissances
Justine,1 487 naissances
Lorenzo,1 486 naissances
Benjamin,1 481 naissances
Mélissa,1 442 naissances
Léonie,1 440 naissances
Maëlle,1 425 naissances
Julia,1 423 naissances
Titouan,1 420 naissances
Lana,1 410 naissances
Elsa,1 403 naissances
Pierre,1 400 naissances
Maeva,1 380 naissances
Margot,1 361 naissances
Margaux,1 358 naissances
Aaron,1 355 naissances
Emilie,1 331 naissances
Mélina,1 312 naissances
Robin,1 295 naissances
Mathieu,1 277 naissances
Julien,1 239 naissances
Mathias,1 227 naissances
Dylan,1 218 naissances
Agathe,1 206 naissances
Ilyès,1 195 naissances
Corentin,1 173 naissances
Amine,1 169 naissances
Tristan,1 166 naissances
Nicolas,1 163 naissances
Yasmine,1 160 naissances
Léane,1 154 naissances
Eloïse,1 142 naissances
Eliott,1 133 naissances
Naël,1 059 naissances
Gabrielle,1 049 naissances
Sara,1 031 naissances
Bastien,1 026 naissances
Rafaël,1 014 naissances
Ilan,1 010 naissances
Faustine,1 006 naissances
Marion,1 001 naissances
Antonin,996 naissances
Anaëlle,970 naissances
Liam,955 naissances
Elena,951 naissances
Diego,943 naissances
Noâm,941 naissances
Matéo,925 naissances
Lilian,920 naissances
Florian,916 naissances
Morgane,912 naissances
Gaspard,912 naissances
Capucine,909 naissances
Thibault,907 naissances
Erwan,901 naissances
Kenza,897 naissances
Anthony,896 naissances
Valentine,889 naissances
Marius,885 naissances
Aya,879 naissances
Sofia,876 naissances
Luca,868 naissances
Maya,857 naissances
Oscar,855 naissances
Louka,853 naissances
William,847 naissances
Mehdi,846 naissances
